Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
04079e70-7e6d-4f5f-8665-215789f17830,"2020-02-12, 02:05:05 PM",root,AttachRolePolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::798740860295:policy/service-role/AWSLambdaBasicExecutionRole-f945f4f5-e31e-42da-8a90-e09fd284526c""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""justfortest-role-4uy3b5yb""}]",,us-east-1,,5.156.67.224
9a6f2fb5-4f5e-432e-8531-48b23b0cb7bb,"2020-02-12, 02:05:05 PM",root,CreatePolicy,IAM Policy,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""ANPA3T6FKJWDTLGKE2IYO""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::798740860295:policy/service-role/AWSLambdaBasicExecutionRole-f945f4f5-e31e-42da-8a90-e09fd284526c""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""AWSLambdaBasicExecutionRole-f945f4f5-e31e-42da-8a90-e09fd284526c""}]",,us-east-1,,5.156.67.224
9ac86f49-d158-4775-9fc8-cea3e62bbc7c,"2020-02-12, 02:05:05 PM",root,CreateRole,,,,us-east-1,,5.156.67.224
1e48df9e-2e0a-41f0-bbe3-e95d9f7977c8,"2020-02-12, 02:03:04 PM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-2,,5.156.67.224
c6014b9f-3c72-4d01-b83b-8532d7f4fb6b,"2020-02-12, 02:03:04 PM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:798740860295:trail/Udacity_Trail""}]",,us-east-2,,5.156.67.224
439c6771-1446-4408-b27c-6555884559a9,"2020-02-12, 02:03:03 PM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""abdennour-udacity-cloudtrail""}]",,us-east-2,,5.156.67.224
9fd78542-9c37-4f48-be83-af2778197351,"2020-02-12, 02:03:03 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""abdennour-udacity-cloudtrail""}]",,us-east-2,,5.156.67.224
b145e9df-13b2-435a-8ef7-eb99093c1c5d,"2020-02-12, 02:03:03 PM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:798740860295:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""abdennour-udacity-cloudtrail""}]",,us-east-2,,5.156.67.224
e8326968-f941-4294-b2e8-230a3d70c9e8,"2020-02-12, 02:02:10 PM",CloudTrail,ChangePassword,,,,us-east-1,,5.156.67.224
39c98b0f-d50a-42f3-b3a8-13664e0f7a27,"2020-02-12, 02:01:00 PM",Accountant,ChangePassword,,,,us-east-1,,5.156.67.224
5b2fa661-16ef-4469-aff2-162242167694,"2020-02-12, 01:59:06 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,5.156.67.224
b2afa889-a362-40e7-a2f1-6de5480f605e,"2020-02-12, 01:59:05 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,5.156.67.224
cf2d715e-2057-405e-9b9f-d2da47b78e62,"2020-02-12, 01:59:05 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA3T6FKJWD4D3OUO2JZ""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::798740860295:user/Accountant""}]",,us-east-1,,5.156.67.224
d024e25d-500d-4ef8-b7a4-c30f126ff8a4,"2020-02-12, 01:58:15 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,5.156.67.224
60860d49-4c6a-4fbb-be20-a4cbf87d2d43,"2020-02-12, 01:58:14 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,5.156.67.224
1a238ee6-a660-485f-82c1-0ce588231660,"2020-02-12, 01:58:13 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA3T6FKJWDVHETEI7JK""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::798740860295:user/CloudTrail""}]",,us-east-1,,5.156.67.224
be9d7d9e-8b18-4246-ab95-dc611ced641e,"2020-02-12, 01:55:59 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,5.156.67.224
c1eb6127-6b5d-4077-aa2e-9a0c4a6b00f3,"2020-02-12, 01:55:59 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA3T6FKJWDWD66V2L3L""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::798740860295:group/Reviewers""}]",,us-east-1,,5.156.67.224
2de354eb-2726-4d3e-bce6-83fd0e01b3b6,"2020-02-12, 01:55:44 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,5.156.67.224
39ee7705-ce44-466a-b9be-bd38b01f4738,"2020-02-12, 01:55:44 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA3T6FKJWD4LBEJZEFG""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::798740860295:group/CloudTrailAdmins""}]",,us-east-1,,5.156.67.224
90e85676-07b8-40b7-a531-4b223e36d6e0,"2020-02-12, 01:55:44 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,5.156.67.224
5d7af07c-1362-4b8e-91ca-1315e0637dbc,"2020-02-12, 01:54:15 PM",root,UpdateAccountPasswordPolicy,,,,us-east-1,,5.156.67.224
7bb4a404-12c4-4771-930e-7ca190d10b4d,"2020-02-12, 01:49:03 PM",root,ConsoleLogin,,,,us-east-1,,5.156.67.224
